"RVY CSR","Width","Address","Alias","Mode","Permissions","Reset Value","Action on XLEN write","Action on YLEN write","Code Pointer","Data Pointer","Unseal On Execution","Prerequisites","Description","initial_ratification","","","","","","","","","","","","","","","","","","","",""
"dpc_y","YLEN","0x7b1","dpc","D","DRW","tag=0, otherwise specified by the platform","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change.","Apply <<section_invalid_addr_conv>> and update the CSR with the result if the address changed,
direct write if address didn't change","✔","","✔","Sdext","Debug Program Counter Capability","v1","","","","","","","","","","","","","","","","","","","",""
"dscratch0_y","YLEN","0x7b2","dscratch0","D","DRW","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","Sdext","Debug Scratch Capability 0","v1","","","","","","","","","","","","","","","","","","","",""
"dscratch1_y","YLEN","0x7b3","dscratch1","D","DRW","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","Sdext","Debug Scratch Capability 1","v1","","","","","","","","","","","","","","","","","","","",""
"mscratch_y","YLEN","0x340","mscratch","M","MRW, <<asr_perm>>","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","M-mode","Machine Scratch Capability","v1","","","","","","","","","","","","","","","","","","","",""
"sscratch_y","YLEN","0x140","sscratch","S","SRW, <<asr_perm>>","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","S-mode","Supervisor Scratch Capability","v1","","","","","","","","","","","","","","","","","","","",""
"vsscratch_y","YLEN","0x240","vsscratch","VS","HRW, <<asr_perm>>","tag=0, otherwise specified by the platform","Update the CSR using <<SCADDR>>.","direct write","","","","H","Virtual Supervisor Scratch Capability","post-v1","","","","","","","","","","","","","","","","","","","",""
"mtvec_y","YLEN","0x305","mtvec","M","MRW, <<asr_perm>>","Nominally <<root-rx-cap>>","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change, including the MODE field in the address for simplicity.
Vector range check if vectored mode is programmed.","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change, including the MODE field in the address for simplicity.
Vector range check if vectored mode is programmed.","✔","","","M-mode","Machine Trap-Vector Base-Address Capability","v1","","","","","","","","","","","","","","","","","","","",""
"stvec_y","YLEN","0x105","stvec","S","SRW, <<asr_perm>>","Nominally <<root-rx-cap>>","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change, including the MODE field in the address for simplicity.
Vector range check if vectored mode is programmed.","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change, including the MODE field in the address for simplicity.
Vector range check if vectored mode is programmed.","✔","","","S-mode","Supervisor Trap-Vector Base-Address Capability","v1","","","","","","","","","","","","","","","","","","","",""
"vstvec_y","YLEN","0x205","vstvec","VS","HRW, <<asr_perm>>","Nominally <<root-rx-cap>>","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change, including the MODE field in the address for simplicity.
Vector range check if vectored mode is programmed.","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change, including the MODE field in the address for simplicity.
Vector range check if vectored mode is programmed.","✔","","","H","Virtual Supervisor Trap-Vector Base-Address Capability","post-v1","","","","","","","","","","","","","","","","","","","",""
"mepc_y","YLEN","0x341","mepc","M","MRW, <<asr_perm>>","Nominally <<root-rx-cap>>","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change.","Apply <<section_invalid_addr_conv>> and update the CSR with the result if the address changed,
direct write if address didn't change","✔","","✔","M-mode","Machine Exception Program Counter Capability","v1","","","","","","","","","","","","","","","","","","","",""
"sepc_y","YLEN","0x141","sepc","S","SRW, <<asr_perm>>","Nominally <<root-rx-cap>>","Apply <<section_invalid_addr_conv>>.
Always update the CSR with <<SCADDR>> even if the address didn't change.","Apply <<section_invalid_addr_conv>> and update the CSR with the result if the address changed,
direct write if address didn't change","✔","","✔","S-mode","Supervisor Exception Program Counter Capability","v1","","","","","","","","","","","","","","","","","","","",""
